time,Fz,Mx,My,Mz
5.150000000000000355e+00,1.260860061645507812e+01,-6.592289544641971588e-03,2.720014378428459167e-02,-5.277811549603939056e-03
5.160000000000000142e+00,1.320752048492431641e+01,3.263489902019500732e-02,-7.306740619242191315e-03,2.102893078699707985e-03
5.169999999999999929e+00,1.260045719146728516e+01,-7.667384576052427292e-03,2.355452626943588257e-02,-3.873608773574233055e-03
5.179999999999999716e+00,1.320758438110351562e+01,2.977055497467517853e-02,-1.174639444798231125e-02,3.525471081957221031e-03
5.190000000000000391e+00,1.256897258758544922e+01,-1.083400659263134003e-02,1.903427019715309143e-02,-2.642852254211902618e-03
5.200000000000000178e+00,1.323890113830566406e+01,2.522218786180019379e-02,-1.669155620038509369e-02,4.616998601704835892e-03
5.209999999999999964e+00,1.257851409912109375e+01,-1.541665848344564438e-02,1.435647252947092056e-02,-1.968312775716185570e-03
5.219999999999999751e+00,1.330583286285400391e+01,1.967608928680419922e-02,-2.156333997845649719e-02,5.171727389097213745e-03
5.230000000000000426e+00,1.263798332214355469e+01,-2.082234062254428864e-02,1.002924144268035889e-02,-1.749456510879099369e-03
5.240000000000000213e+00,1.341661453247070312e+01,1.387325860559940338e-02,-2.660300396382808685e-02,5.293761845678091049e-03
5.250000000000000000e+00,1.277044868469238281e+01,-2.663077786564826965e-02,5.633237306028604507e-03,-1.971204066649079323e-03
5.259999999999999787e+00,1.354578876495361328e+01,8.817459456622600555e-03,-3.139327093958854675e-02,5.365084856748580933e-03
5.270000000000000462e+00,1.288578796386718750e+01,-3.148561343550682068e-02,2.212694380432367325e-03,-1.990736695006489754e-03
5.280000000000000249e+00,1.361503410339355469e+01,5.771965719759464264e-03,-3.442723676562309265e-02,5.440985318273305893e-03
5.290000000000000036e+00,1.296160507202148438e+01,-3.449750319123268127e-02,9.829849004745483398e-04,-2.183102304115891457e-03
5.299999999999999822e+00,1.363291549682617188e+01,4.373219329863786697e-03,-3.564471006393432617e-02,5.749233067035675049e-03
5.310000000000000497e+00,1.300834369659423828e+01,-3.468749299645423889e-02,8.228555088862776756e-04,-1.874195761047303677e-03
5.320000000000000284e+00,1.362394809722900391e+01,4.226753953844308853e-03,-3.565126657485961914e-02,6.352611351758241653e-03
5.330000000000000071e+00,1.303473663330078125e+01,-3.347547352313995361e-02,1.853986876085400581e-03,-9.318889351561665535e-04
5.339999999999999858e+00,1.357506847381591797e+01,4.433586727827787399e-03,-3.448932990431785583e-02,7.241205777972936630e-03
5.350000000000000533e+00,1.299480628967285156e+01,-3.185353800654411316e-02,3.756435588002204895e-03,2.860978420358151197e-04
5.360000000000000320e+00,1.360137081146240234e+01,5.478220060467720032e-03,-3.218413516879081726e-02,7.781008258461952209e-03
5.370000000000000107e+00,1.306377029418945312e+01,-2.906606718897819519e-02,6.209162529557943344e-03,1.287829945795238018e-03
5.379999999999999893e+00,1.370738029479980469e+01,6.831211037933826447e-03,-2.859586104750633240e-02,7.997071370482444763e-03
5.389999999999999680e+00,1.317113971710205078e+01,-2.607724815607070923e-02,9.639114141464233398e-03,1.506592030636966228e-03
5.400000000000000355e+00,1.378813076019287109e+01,8.510068990290164948e-03,-2.432746067643165588e-02,7.164081092923879623e-03
5.410000000000000142e+00,1.323800754547119141e+01,-2.319216541945934296e-02,1.405560225248336792e-02,4.122925165574997663e-04
5.419999999999999929e+00,1.384685802459716797e+01,1.135491766035556793e-02,-1.907815039157867432e-02,5.789841525256633759e-03
5.429999999999999716e+00,1.328093051910400391e+01,-1.955627091228961945e-02,1.954387128353118896e-02,-1.176481600850820541e-03
5.440000000000000391e+00,1.390042495727539062e+01,1.471405290067195892e-02,-1.367231551557779312e-02,4.381235688924789429e-03
5.450000000000000178e+00,1.331406021118164062e+01,-1.569973304867744446e-02,2.544861100614070892e-02,-2.898065838962793350e-03
5.459999999999999964e+00,1.394729137420654297e+01,1.879847049713134766e-02,-8.428758941590785980e-03,3.101920010522007942e-03
5.469999999999999751e+00,1.332879161834716797e+01,-1.162165775895118713e-02,3.152909502387046814e-02,-4.658779129385948181e-03
5.480000000000000426e+00,1.400145626068115234e+01,2.338788285851478577e-02,-3.690817859023809433e-03,2.035368466749787331e-03
5.490000000000000213e+00,1.333748054504394531e+01,-7.602280005812644958e-03,3.741956129670143127e-02,-6.393434945493936539e-03
5.500000000000000000e+00,1.404544353485107422e+01,2.809622697532176971e-02,3.204508393537253141e-04,1.288428786210715771e-03
5.509999999999999787e+00,1.333147239685058594e+01,-3.995035309344530106e-03,4.260214790701866150e-02,-7.965521886944770813e-03
5.520000000000000462e+00,1.406796550750732422e+01,3.140548989176750183e-02,4.753456450998783112e-03,6.240292714210227132e-05
5.530000000000000249e+00,1.332998085021972656e+01,-9.295438649132847786e-04,4.690604656934738159e-02,-9.377110749483108521e-03
5.540000000000000036e+00,1.407830524444580078e+01,3.379219397902488708e-02,8.295283652842044830e-03,-7.841460756026208401e-04
5.549999999999999822e+00,1.331141853332519531e+01,1.052240375429391861e-03,4.999410361051559448e-02,-1.042395085096359253e-02
5.560000000000000497e+00,1.406730842590332031e+01,3.539667651057243347e-02,1.023974828422069550e-02,-1.106759416870772839e-03
5.570000000000000284e+00,1.318216991424560547e+01,1.443536486476659775e-03,5.035498738288879395e-02,-9.960745461285114288e-03
5.580000000000000071e+00,1.394807243347167969e+01,3.512289747595787048e-02,9.544983506202697754e-03,-5.298661999404430389e-04
5.589999999999999858e+00,1.307049083709716797e+01,1.242193160578608513e-03,4.841787740588188171e-02,-8.625528775155544281e-03
5.600000000000000533e+00,1.381492900848388672e+01,3.500052914023399353e-02,5.629265680909156799e-03,-5.552920047193765640e-04
5.610000000000000320e+00,1.289734363555908203e+01,2.205582335591316223e-03,4.417486488819122314e-02,-7.214470300823450089e-03
