time,vx,vy,vz,psi_dot
1.066000000000000014e+01,-1.107575988769531250e+01,7.819678783416748047e+00,-6.095552444458007812e-01,-1.376793384552001953e-01
1.066999999999999993e+01,-9.817901611328125000e+00,7.018117904663085938e+00,-1.277776956558227539e+00,-5.799365043640136719e-02
1.067999999999999972e+01,-1.118458557128906250e+01,7.445657253265380859e+00,-5.717396736145019531e-01,-1.288373470306396484e-01
1.068999999999999950e+01,-9.891043663024902344e+00,6.676819324493408203e+00,-1.229052543640136719e+00,-4.801344871520996094e-02
1.070000000000000107e+01,-1.128746128082275391e+01,7.096204757690429688e+00,-5.022382736206054688e-01,-1.196422576904296875e-01
1.071000000000000085e+01,-9.950439453125000000e+00,6.354937553405761719e+00,-1.138290166854858398e+00,-3.699994087219238281e-02
1.072000000000000064e+01,-1.138967037200927734e+01,6.751434803009033203e+00,-4.127550125122070312e-01,-1.093626022338867188e-01
1.073000000000000043e+01,-1.001645946502685547e+01,6.008958816528320312e+00,-1.045473814010620117e+00,-2.590179443359375000e-02
1.074000000000000021e+01,-1.149514961242675781e+01,6.372179985046386719e+00,-3.122210502624511719e-01,-9.794402122497558594e-02
1.075000000000000000e+01,-1.009325027465820312e+01,5.632193088531494141e+00,-9.492313861846923828e-01,-1.380705833435058594e-02
1.075999999999999979e+01,-1.160440349578857422e+01,5.957758426666259766e+00,-1.830923557281494141e-01,-8.580374717712402344e-02
1.076999999999999957e+01,-1.018030071258544922e+01,5.225930213928222656e+00,-8.529543876647949219e-01,-6.895065307617187500e-04
1.077999999999999936e+01,-1.172334671020507812e+01,5.519402027130126953e+00,-4.105687141418457031e-02,-7.286906242370605469e-02
1.079000000000000092e+01,-1.026238250732421875e+01,4.757428169250488281e+00,-7.454466819763183594e-01,1.502180099487304688e-02
1.080000000000000071e+01,-1.184219264984130859e+01,5.059938430786132812e+00,7.563829421997070312e-02,-5.887818336486816406e-02
1.081000000000000050e+01,-1.034840106964111328e+01,4.283120632171630859e+00,-6.113505363464355469e-01,3.315401077270507812e-02
1.082000000000000028e+01,-1.196674156188964844e+01,4.570424556732177734e+00,1.326799392700195312e-01,-3.923320770263671875e-02
1.083000000000000007e+01,-1.044197082519531250e+01,3.796730041503906250e+00,-5.134975910186767578e-01,5.531024932861328125e-02
1.083999999999999986e+01,-1.208457469940185547e+01,4.039309024810791016e+00,1.552414894104003906e-01,-1.549839973449707031e-02
1.084999999999999964e+01,-1.053086090087890625e+01,3.279194831848144531e+00,-4.928839206695556641e-01,8.442878723144531250e-02
1.085999999999999943e+01,-1.220063018798828125e+01,3.489098548889160156e+00,1.514935493469238281e-01,1.088333129882812500e-02
1.087000000000000099e+01,-1.063054656982421875e+01,2.764682769775390625e+00,-4.891002178192138672e-01,1.136817932128906250e-01
1.088000000000000078e+01,-1.231680679321289062e+01,2.940342426300048828e+00,1.382207870483398438e-01,3.803205490112304688e-02
1.089000000000000057e+01,-1.073929023742675781e+01,2.260794639587402344e+00,-5.008280277252197266e-01,1.427235603332519531e-01
1.090000000000000036e+01,-1.243232727050781250e+01,2.415935993194580078e+00,1.178431510925292969e-01,6.507968902587890625e-02
1.091000000000000014e+01,-1.085403633117675781e+01,1.767597198486328125e+00,-5.237627029418945312e-01,1.706590652465820312e-01
1.091999999999999993e+01,-1.254100322723388672e+01,1.944479942321777344e+00,1.133084297180175781e-01,9.010791778564453125e-02
1.092999999999999972e+01,-1.098092460632324219e+01,1.289288997650146484e+00,-5.204296112060546875e-01,1.937866210937500000e-01
1.093999999999999950e+01,-1.266495704650878906e+01,1.488549709320068359e+00,1.241254806518554688e-01,1.108980178833007812e-01
1.095000000000000107e+01,-1.109664726257324219e+01,8.805704116821289062e-01,-5.371546745300292969e-01,2.160902023315429688e-01
1.096000000000000085e+01,-1.279466724395751953e+01,1.074266433715820312e+00,6.213903427124023438e-02,1.322798728942871094e-01
1.097000000000000064e+01,-1.123042297363281250e+01,5.249953269958496094e-01,-5.976676940917968750e-01,2.369117736816406250e-01
1.098000000000000043e+01,-1.293563842773437500e+01,6.583786010742187500e-01,-3.356575965881347656e-02,1.518907546997070312e-01
1.099000000000000021e+01,-1.138648605346679688e+01,1.700854301452636719e-01,-6.988501548767089844e-01,2.558474540710449219e-01
1.100000000000000000e+01,-1.308327102661132812e+01,3.050684928894042969e-01,-1.445126533508300781e-01,1.683783531188964844e-01
1.100999999999999979e+01,-1.155408668518066406e+01,-1.191055774688720703e-01,-8.142578601837158203e-01,2.712321281433105469e-01
1.101999999999999957e+01,-1.324021339416503906e+01,-2.803802490234375000e-03,-2.615559101104736328e-01,1.810541152954101562e-01
1.102999999999999936e+01,-1.173563480377197266e+01,-3.613269329071044922e-01,-9.353983402252197266e-01,2.823829650878906250e-01
1.104000000000000092e+01,-1.339839458465576172e+01,-2.854990959167480469e-01,-3.876936435699462891e-01,1.887936592102050781e-01
1.105000000000000071e+01,-1.192808151245117188e+01,-5.737233161926269531e-01,-1.067996025085449219e+00,2.893610000610351562e-01
1.106000000000000050e+01,-1.355453014373779297e+01,-5.058109760284423828e-01,-5.112719535827636719e-01,1.910066604614257812e-01
1.107000000000000028e+01,-1.212930202484130859e+01,-7.217562198638916016e-01,-1.200736761093139648e+00,2.917404174804687500e-01
1.108000000000000007e+01,-1.370920085906982422e+01,-7.209908962249755859e-01,-6.427490711212158203e-01,1.913099288940429688e-01
1.108999999999999986e+01,-1.233877658843994141e+01,-8.531677722930908203e-01,-1.331554651260375977e+00,2.897911071777343750e-01
1.109999999999999964e+01,-1.386218070983886719e+01,-8.994650840759277344e-01,-8.007395267486572266e-01,1.891036033630371094e-01
1.110999999999999943e+01,-1.254356575012207031e+01,-9.351372718811035156e-01,-1.476449966430664062e+00,2.828755378723144531e-01
1.112000000000000099e+01,-1.401342582702636719e+01,-1.040933132171630859e+00,-9.653031826019287109e-01,1.837487220764160156e-01
1.113000000000000078e+01,-1.273009204864501953e+01,-9.613418579101562500e-01,-1.600797176361083984e+00,2.733488082885742188e-01
1.114000000000000057e+01,-1.415616893768310547e+01,-1.079751253128051758e+00,-1.093158721923828125e+00,1.724452972412109375e-01
1.115000000000000036e+01,-1.289975643157958984e+01,-9.339070320129394531e-01,-1.731413602828979492e+00,2.602987289428710938e-01
1.116000000000000014e+01,-1.429323005676269531e+01,-1.091066598892211914e+00,-1.201988458633422852e+00,1.570148468017578125e-01
1.116999999999999993e+01,-1.305737972259521484e+01,-8.858084678649902344e-01,-1.830490827560424805e+00,2.431430816650390625e-01
1.117999999999999972e+01,-1.442194747924804688e+01,-1.060813665390014648e+00,-1.291667222976684570e+00,1.376852989196777344e-01
1.118999999999999950e+01,-1.320518016815185547e+01,-7.986569404602050781e-01,-1.907502412796020508e+00,2.222294807434082031e-01
1.120000000000000107e+01,-1.454017066955566406e+01,-9.931039810180664062e-01,-1.358864307403564453e+00,1.147508621215820312e-01
1.121000000000000085e+01,-1.334121704101562500e+01,-6.763517856597900391e-01,-1.960079669952392578e+00,1.977419853210449219e-01
1.122000000000000064e+01,-1.464641380310058594e+01,-8.933508396148681641e-01,-1.400650739669799805e+00,8.865356445312500000e-02
1.123000000000000043e+01,-1.346623229980468750e+01,-5.230689048767089844e-01,-1.983007192611694336e+00,1.696510314941406250e-01
1.124000000000000021e+01,-1.473457145690917969e+01,-7.866060733795166016e-01,-1.417196989059448242e+00,6.012153625488281250e-02
1.125000000000000000e+01,-1.357625198364257812e+01,-3.656160831451416016e-01,-1.975739002227783203e+00,1.390995979309082031e-01
1.125999999999999979e+01,-1.478531646728515625e+01,-6.456792354583740234e-01,-1.415225267410278320e+00,3.167009353637695312e-02
1.126999999999999957e+01,-1.365319442749023438e+01,-1.769173145294189453e-01,-1.960384845733642578e+00,1.065955162048339844e-01
